BaselineCommit,Source,Line,MissedInstructions,CoveredInstructionsOnLine,Disposition,Risk,Rationale
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersWindowsTempRoot.ps1,17,1,0,platform-lab,medium,Unsupported OS or missing OS special-folder/machine root; do not alter real machine roots for coverage. RuntimeSafety.Tests.ps1 verifies ordinary OS-derived roots; TC-003/005 retains unavailable-root/token labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersWindowsTempRoot.ps1,22,1,0,platform-lab,medium,Unsupported OS or missing OS special-folder/machine root; do not alter real machine roots for coverage. RuntimeSafety.Tests.ps1 verifies ordinary OS-derived roots; TC-003/005 retains unavailable-root/token labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Get-TheCleanersWindowsTempRoot.ps1,25,1,0,platform-lab,medium,Unsupported OS or missing OS special-folder/machine root; do not alter real machine roots for coverage. RuntimeSafety.Tests.ps1 verifies ordinary OS-derived roots; TC-003/005 retains unavailable-root/token labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Initialize-TheCleanersNativeFileInterop.ps1,22,1,0,defensive-lab,medium,Abandoned named mutex transfers ownership to catching thread; normal concurrent initialization is covered by RuntimeSafety.Tests.ps1. Process-abandonment stress remains a lab variant.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Resolve-TheCleanersFileSystemPath.ps1,23,1,0,defensive-only,low,Parameter validation rejects blank paths and fully qualified syntax rejects non-filesystem provider paths before these fallback guards; FullyQualifiedPathSafety.Tests.ps1.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Resolve-TheCleanersFileSystemPath.ps1,148,1,0,platform-lab,medium,"Extended UNC traversal preservation; normalization already tested, public current-user UNC roots rejected. Provider/long-path acceptance remains TC-003."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Resolve-TheCleanersFileSystemPath.ps1,196,1,0,defensive-only,low,Parameter validation rejects blank paths and fully qualified syntax rejects non-filesystem provider paths before these fallback guards; FullyQualifiedPathSafety.Tests.ps1.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Resolve-TheCleanersFileSystemPath.ps1,210,1,0,platform-lab,medium,Unavailable OS Windows-root fallback; RuntimeSafety.Tests.ps1 verifies non-spoofable normal resolution. No machine registry alteration.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Resolve-TheCleanersFileSystemPath.ps1,213,1,0,platform-lab,medium,Unavailable OS Windows-root fallback; RuntimeSafety.Tests.ps1 verifies non-spoofable normal resolution. No machine registry alteration.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/ResultContracts.ps1,176,1,0,platform-lab,medium,Actual token states depend on runner elevation or token-query failure; RuntimeSafety.Tests.ps1 verifies reported state. Broader elevated/non-elevated acceptance remains TC-003/004.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/ResultContracts.ps1,185,1,0,platform-lab,medium,Actual token states depend on runner elevation or token-query failure; RuntimeSafety.Tests.ps1 verifies reported state. Broader elevated/non-elevated acceptance remains TC-003/004.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/ResultContracts.ps1,188,1,0,platform-lab,medium,Actual token states depend on runner elevation or token-query failure; RuntimeSafety.Tests.ps1 verifies reported state. Broader elevated/non-elevated acceptance remains TC-003/004.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Test-TheCleanersIisLogFileName.ps1,17,1,0,defensive-only,low,Private suffix helper receives only regex-captured 4/6/8 digit strings from supported caller; malformed suffix guards are unreachable through public filename contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Test-TheCleanersIisLogFileName.ps1,22,1,0,defensive-only,low,Private suffix helper receives only regex-captured 4/6/8 digit strings from supported caller; malformed suffix guards are unreachable through public filename contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Test-TheCleanersIisLogFileName.ps1,26,1,0,defensive-only,low,Private suffix helper receives only regex-captured 4/6/8 digit strings from supported caller; malformed suffix guards are unreachable through public filename contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Test-TheCleanersIisProtectedPath.ps1,18,1,0,platform-lab,medium,Unsupported OS or missing OS special-folder/machine root; do not alter real machine roots for coverage. RuntimeSafety.Tests.ps1 verifies ordinary OS-derived roots; TC-003/005 retains unavailable-root/token labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Test-TheCleanersIisProtectedPath.ps1,21,1,0,platform-lab,medium,Unsupported OS or missing OS special-folder/machine root; do not alter real machine roots for coverage. RuntimeSafety.Tests.ps1 verifies ordinary OS-derived roots; TC-003/005 retains unavailable-root/token labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Private/Test-TheCleanersIisProtectedPath.ps1,77,1,0,defensive-only,medium,Production protected-path inventory returns three entries or throws; empty inventory cannot arise through the supported helper contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,54,1,0,platform-lab,medium,"Unsupported OS, unavailable special folder, root reparse/failure summary branch. Existing RuntimeSafety and CoverageEdges fixtures cover preflight rejection; broader actual-root/OS lab variants remain open."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,55,1,0,platform-lab,medium,"Unsupported OS, unavailable special folder, root reparse/failure summary branch. Existing RuntimeSafety and CoverageEdges fixtures cover preflight rejection; broader actual-root/OS lab variants remain open."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,56,1,0,platform-lab,medium,"Unsupported OS, unavailable special folder, root reparse/failure summary branch. Existing RuntimeSafety and CoverageEdges fixtures cover preflight rejection; broader actual-root/OS lab variants remain open."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,71,1,0,platform-lab,medium,"Unsupported OS, unavailable special folder, root reparse/failure summary branch. Existing RuntimeSafety and CoverageEdges fixtures cover preflight rejection; broader actual-root/OS lab variants remain open."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,83,1,0,platform-lab,medium,"Unsupported OS, unavailable special folder, root reparse/failure summary branch. Existing RuntimeSafety and CoverageEdges fixtures cover preflight rejection; broader actual-root/OS lab variants remain open."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,92,1,0,platform-lab,medium,"Unsupported OS, unavailable special folder, root reparse/failure summary branch. Existing RuntimeSafety and CoverageEdges fixtures cover preflight rejection; broader actual-root/OS lab variants remain open."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,146,1,2,existing-subprocess,high,RuntimeSafety.Tests.ps1 fresh-process Y/N confirmation verifies decline and no nested prompts; parent coverage cannot observe child execution.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,156,2,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,159,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,160,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,161,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,162,2,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,163,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,164,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,165,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,166,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects a different real root identity, tests continuing/Stop errors, preservation and closed plan handles; not physical root-race acceptance."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,205,1,0,defensive-lab,high,File disappears between Get-Item and Refresh; adjacent disappearance boundaries are covered by TempCandidateSafety.Tests.ps1. Exact timing remains TC-004 concurrency acceptance.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,206,1,0,defensive-lab,high,File disappears between Get-Item and Refresh; adjacent disappearance boundaries are covered by TempCandidateSafety.Tests.ps1. Exact timing remains TC-004 concurrency acceptance.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,217,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 changes last-write time after actual planning; skips candidate, removes old sibling and preserves both ancestors."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,218,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 changes last-write time after actual planning; skips candidate, removes old sibling and preserves both ancestors."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,232,1,3,existing-contract,high,CleanupBehavior.Tests.ps1 locked writer/file failure verifies stable error contract; native-code category alternatives remain Windows access/lock lab cases.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,245,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,246,2,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,247,2,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,248,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,249,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,250,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,278,1,0,defensive-lab,high,Retained planned-directory handles prevent ordinary replacement; type/reparse/identity guards remain defense against adversarial changes. TC-004 labs; existing IdentitySafety and CleanupBehavior fixtures.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,279,1,0,defensive-lab,high,Retained planned-directory handles prevent ordinary replacement; type/reparse/identity guards remain defense against adversarial changes. TC-004 labs; existing IdentitySafety and CleanupBehavior fixtures.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,287,1,0,defensive-only,medium,Production pruning plans require retained handles; missing-handle fallback is not reached by supported planner. Do not construct an impossible plan just to execute fallback deletion.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,291,1,0,defensive-lab,high,Retained planned-directory handles prevent ordinary replacement; type/reparse/identity guards remain defense against adversarial changes. TC-004 labs; existing IdentitySafety and CleanupBehavior fixtures.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,292,1,0,defensive-lab,high,Retained planned-directory handles prevent ordinary replacement; type/reparse/identity guards remain defense against adversarial changes. TC-004 labs; existing IdentitySafety and CleanupBehavior fixtures.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,303,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,304,3,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,305,2,0,defensive-lab,high,Missing planned directory is normally prevented by retained handles; disappearance/race variants remain TC-004. New pruning tests cover access/I-O failures and ancestor disqualification.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,306,1,0,defensive-lab,high,Missing planned directory is normally prevented by retained handles; disappearance/race variants remain TC-004. New pruning tests cover access/I-O failures and ancestor disqualification.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,307,1,0,defensive-lab,high,Missing planned directory is normally prevented by retained handles; disappearance/race variants remain TC-004. New pruning tests cover access/I-O failures and ancestor disqualification.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,309,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,310,2,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,311,4,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,312,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,313,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,315,1,0,new-regression,high,"TempFailureBranches.Tests.ps1 injects pruning access and I-O failures after actual file removal; verifies categories, counts, ancestors and Stop handle cleanup."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,324,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,325,2,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,326,2,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,327,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,328,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-CurrentUserTemp.ps1,329,1,0,defensive-lab,high,Conservative post-delete path-exists reconciliation for delete-pending/recreated names. Never claims success while path exists; kernel sharing and scheduling require TC-004 labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,49,1,0,platform-lab,low,Non-Windows guard; Windows is the supported product contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,50,1,0,platform-lab,low,Non-Windows guard; Windows is the supported product contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,51,1,0,platform-lab,low,Non-Windows guard; Windows is the supported product contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,61,1,0,new-regression,high,"PreviewTraversalBranches.Tests.ps1: blank installation value and failed protection query terminate before filesystem traversal, including without PassThru."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,83,2,0,existing-contract,high,PreviewCommandSafety.Tests.ps1 tests file-valued install root with/without PassThru and Stop; report miss is not absence of a regression.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,116,1,0,new-regression,high,"PreviewTraversalBranches.Tests.ps1: blank installation value and failed protection query terminate before filesystem traversal, including without PassThru."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,158,1,0,defensive-lab,medium,Directory becomes a file between probe and traversal; ordinary invalid root is already tested. Preview-only race acceptance requires TC-006 product labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,181,1,0,new-regression,high,"PreviewTraversalBranches.Tests.ps1: nested allowlisted candidate, junction exclusion and nested enumeration failure; no removal and unknown totals after partial discovery."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,182,1,0,defensive-lab,medium,Directory becomes a file between probe and traversal; ordinary invalid root is already tested. Preview-only race acceptance requires TC-006 product labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,183,1,0,defensive-lab,medium,Directory becomes a file between probe and traversal; ordinary invalid root is already tested. Preview-only race acceptance requires TC-006 product labs.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,189,1,0,new-regression,high,"PreviewTraversalBranches.Tests.ps1: nested allowlisted candidate, junction exclusion and nested enumeration failure; no removal and unknown totals after partial discovery."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,193,1,0,new-regression,high,"PreviewTraversalBranches.Tests.ps1: nested allowlisted candidate, junction exclusion and nested enumeration failure; no removal and unknown totals after partial discovery."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,199,1,0,defensive-only,high,Whole log-root overlap with any protected descendant is rejected before this per-file fallback; ExchangePreviewEdgeCases.Tests.ps1 verifies nested protected roots.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldExchangeLog.ps1,200,1,0,defensive-only,high,Whole log-root overlap with any protected descendant is rejected before this per-file fallback; ExchangePreviewEdgeCases.Tests.ps1 verifies nested protected roots.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,51,1,0,platform-lab,low,Non-Windows guard; Windows is the supported product contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,52,1,0,platform-lab,low,Non-Windows guard; Windows is the supported product contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,53,1,0,platform-lab,low,Non-Windows guard; Windows is the supported product contract.
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,98,1,0,existing-subprocess,high,"IISDiscoverySafety.Tests.ps1 fresh-process fixture-module success/failure, FTP discovery, metadata and dependency lifetime; isolated child runspace is outside parent coverage. New FTP metadata fixtures extend these failure contracts."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,99,1,0,existing-subprocess,high,"IISDiscoverySafety.Tests.ps1 fresh-process fixture-module success/failure, FTP discovery, metadata and dependency lifetime; isolated child runspace is outside parent coverage. New FTP metadata fixtures extend these failure contracts."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,100,2,0,existing-subprocess,high,"IISDiscoverySafety.Tests.ps1 fresh-process fixture-module success/failure, FTP discovery, metadata and dependency lifetime; isolated child runspace is outside parent coverage. New FTP metadata fixtures extend these failure contracts."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,101,1,0,existing-subprocess,high,"IISDiscoverySafety.Tests.ps1 fresh-process fixture-module success/failure, FTP discovery, metadata and dependency lifetime; isolated child runspace is outside parent coverage. New FTP metadata fixtures extend these failure contracts."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,102,1,0,existing-subprocess,high,"IISDiscoverySafety.Tests.ps1 fresh-process fixture-module success/failure, FTP discovery, metadata and dependency lifetime; isolated child runspace is outside parent coverage. New FTP metadata fixtures extend these failure contracts."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,103,4,0,existing-subprocess,high,"IISDiscoverySafety.Tests.ps1 fresh-process fixture-module success/failure, FTP discovery, metadata and dependency lifetime; isolated child runspace is outside parent coverage. New FTP metadata fixtures extend these failure contracts."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,104,1,0,existing-subprocess,high,"IISDiscoverySafety.Tests.ps1 fresh-process fixture-module success/failure, FTP discovery, metadata and dependency lifetime; isolated child runspace is outside parent coverage. New FTP metadata fixtures extend these failure contracts."
3cb0293487c6f08e7fdea6bff30e29cf1169d766,src/TheCleaners/Public/Clear-OldIISLog.ps1,106,1,0,new-subprocess,high,"IISDiscoverySafety.Tests.ps1 FtpMetadata cases: missing/invalid ID, absent configuration, missing format/rollover; failed FTP result stays separate from valid web preview and dependency state is restored."
